"ID","AGE","AGECAT","CPLDIFED","DEGREE","EDUC","EMAILHRS","FINRELA","HAPMAR","HAPPY","HRS1","HUSBEDUC","HUSBFT","HUSBHR","INCOMDOL","INCOME","LIFE","MAEDUC","MARITAL","NDEGREE","NETCAT","NETHRS","PAEDUC","PARTYID","POSTLIFE","PRES96","PRTDIFED","RICHWORK","RINCDOL","RINCOME","SATJOB","SEX","SIBS","SPDEG","SPEDUC","SPHRS1","SPWRKSTA","SRCHENG2","TVHOURS","USECOMP","USEMAIL","USENET","USEWEB","VOTE96","WEBHRS","WIFEDUC","WIFEFT","WIFEHR","WRKSTAT","ZODIAC"
"1",1,26,"18-29",NA,"Bachelor",16,2,"ABOVE AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,NA,NA,"EXCITING",16,"NEVER MARRIED","junior college or more","4+ to 10 hours",7,16,"IND,NEAR REP","YES",NA,0,NA,9000,8,"VERY SATISFIED","Male",1,NA,NA,NA,NA,"YAHOO",12,"Yes","Yes","Yes","Yes","DID NOT VOTE",5,NA,NA,NA,"WORKING FULLTIME","SCORPIO"
"2",2,48,"40-49",NA,"High school",15,NA,"BELOW AVERAGE",NA,"PRETTY HAPPY",38,NA,NA,NA,9000,8,"EXCITING",16,"DIVORCED","high school","Not Internet user",NA,9,"NOT STR REPUBLICAN",NA,NA,-7,"STOP WORKING",9000,8,"MOD. SATISFIED","Female",4,NA,NA,NA,NA,NA,NA,"Yes","No","No","No","DID NOT VOTE",-1,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"3",4,39,"30-39",NA,"High school",14,3,"ABOVE AVERAGE",NA,"VERY HAPPY",60,NA,NA,NA,45000,18,NA,14,"NEVER MARRIED","high school","4+ to 10 hours",5,12,"IND,NEAR REP","YES","DOLE",-2,NA,NA,NA,"VERY SATISFIED","Female",2,NA,NA,NA,NA,NA,4,"Yes","Yes","Yes","Yes","VOTED",2,NA,NA,NA,"WORKING FULLTIME","SCORPIO"
"4",5,25,"18-29",NA,"Junior college",14,15,"ABOVE AVERAGE",NA,"PRETTY HAPPY",44,NA,NA,NA,37500,17,NA,14,"DIVORCED","junior college or more","More than 10",16,13,"NOT STR DEMOCRAT","YES","CLINTON",-1,NA,NA,NA,"A LITTLE DISSAT","Female",1,NA,NA,NA,NA,NA,1,"Yes","Yes","Yes","Yes","VOTED",1,NA,NA,NA,"WORKING FULLTIME","PISCES"
"5",6,25,"18-29",2,"High school",12,NA,NA,"VERY HAPPY","PRETTY HAPPY",40,14,"Yes",40,NA,NA,"EXCITING",12,"MARRIED","high school",NA,NA,NA,"STRONG DEMOCRAT","YES",NA,NA,"CONTINUE WORKING",21250,13,"MOD. SATISFIED","Female",2,"JUNIOR COLLEGE",14,40,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"INELIGIBLE",-1,12,"Yes",40,"WORKING FULLTIME","CANCER"
"6",7,36,"30-39",NA,"High school",14,1.5,"AVERAGE",NA,"VERY HAPPY",55,NA,NA,NA,27500,15,"EXCITING",16,"NEVER MARRIED","high school","1+ to  4 hours",1.51666666666667,18,"NOT STR REPUBLICAN",NA,"PEROT",2,"CONTINUE WORKING",27500,15,"VERY SATISFIED","Male",1,NA,NA,NA,NA,NA,3,"Yes","Yes","Yes","Yes","VOTED",0.0166666666666667,NA,NA,NA,"WORKING FULLTIME","CAPRICORN"
"7",8,44,"40-49",NA,"Junior college",14,NA,"AVERAGE",NA,"PRETTY HAPPY",42,NA,NA,NA,21250,13,"EXCITING",12,"DIVORCED","junior college or more",NA,NA,12,"IND,NEAR DEM","YES","PEROT",0,"CONTINUE WORKING",7500,7,"VERY SATISFIED","Female",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VOTED",-1,NA,NA,NA,"WORKING FULLTIME","PISCES"
"8",9,44,"40-49",-1,"Graduate",18,3,"FAR ABOVE AVERAGE","VERY HAPPY","PRETTY HAPPY",50,18,"Yes",50,110000,23,NA,11,"MARRIED","junior college or more","4+ to 10 hours",4.5,11,"NOT STR DEMOCRAT",NA,"CLINTON",0,NA,55000,19,"VERY SATISFIED","Male",0,"GRADUATE",19,40,"WORKING FULLTIME","SEARCH.COM",0,"Yes","Yes","Yes","Yes","VOTED",1.5,19,"Yes",40,"WORKING FULLTIME","TAURUS"
"9",10,47,"40-49",0,"Bachelor",16,0.166666666666667,"ABOVE AVERAGE","PRETTY HAPPY","VERY HAPPY",60,16,"Yes",60,100000,22,NA,12,"MARRIED","junior college or more","One hour or less",0.416666666666667,16,"STRONG REPUBLICAN","YES","DOLE",4,NA,67500,20,"VERY SATISFIED","Male",4,"BACHELOR",16,40,"WORKING FULLTIME",NA,3,"Yes","Yes","Yes","Yes","VOTED",0.25,16,"Yes",40,"WORKING FULLTIME","ARIES"
"10",11,53,"50-59",-4,"Graduate",18,10,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",50,14,"Yes",45,100000,22,NA,10,"MARRIED","junior college or more","More than 10",15,3,"NOT STR DEMOCRAT","YES","CLINTON",-7,NA,67500,20,"VERY SATISFIED","Female",3,"JUNIOR COLLEGE",14,45,"WORKING FULLTIME","GOPHER",2,"Yes","Yes","Yes","Yes","VOTED",5,18,"Yes",50,"WORKING FULLTIME","ARIES"
