intacess,intacshm,intacwk,intacscl,intaclib,intuse,intuseyr,intusefq,intsite,libuseyr,libusefq,libstop,libuswhy,libnowhy,intuswhy,libradeq,netradeq,libfind,netfind,libacinf,netacinf,libcurnt,netcurnt,libfun,intfun,surflib,surfnet,libusfut,netusfut,intnowhy,rsnonet,educ,rural,student,employed,income,gender,region,age,agecat4,internet,income3,libfreq,degree,kids
0,2,2,2,2,2,-1,-1,13,0,7,3,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,1,2,2,6,2,6,22,1,0,2,1,2,1
1,1,0,0,1,1,2,1,1,1,3,3,12,21,26,8,9,10,10,10,10,8,10,10,10,10,99,3,1,13,14,12,2,2,3,11,2,1,40,2,1,11,3,2,1
0,2,2,2,2,2,-1,-1,13,0,7,2,24,4,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,13,8,1,2,7,1,2,2,66,4,0,1,1,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,3,2,1,3,1,7,25,1,0,1,1,2,1
0,2,2,2,2,2,-1,-1,13,0,7,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,9,3,2,3,7,2,6,43,2,0,2,1,1,1
1,1,0,0,0,0,-1,-1,13,0,7,3,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,12,3,2,3,6,2,4,49,2,2,2,1,2,1
1,1,0,0,0,0,-1,-1,13,0,7,2,24,19,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,14,13,2,2,6,8,2,7,70,4,2,3,1,3,0
0,2,2,2,2,2,-1,-1,13,0,7,3,3,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,9,1,2,2,3,2,6,65,3,0,1,1,1,0
1,0,0,0,0,0,-1,-1,13,0,7,3,24,4,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,8,1,2,6,10,2,4,83,4,2,10,1,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,1,3,2,3,1,2,7,64,3,0,1,1,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,2,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,8,3,2,3,3,1,7,31,1,0,1,1,1,0
1,0,0,1,1,1,2.5,2,3,1,1,3,14,21,7,7,7,9,9,9,9,8,8,10,10,7,7,1,3,13,10,12,1,1,4,10,2,4,21,1,1,10,5,2,1
1,1,0,0,0,0,-1,-1,13,0,7,3,21,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,9,1,2,1,6,2,4,55,3,2,2,1,1,0
1,0,1,0,0,1,3,1,2,0,7,3,1,21,19,10,8,10,8,10,8,10,10,10,7,10,6,1,2,13,9,13,3,2,1,8,1,5,43,2,1,3,1,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,3,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,1,2,1,6,2,4,21,1,0,2,1,2,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,14,3,2,1,3,1,1,45,2,0,1,1,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,10,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,1,3,2,3,1,2,1,51,3,0,1,1,1,0
1,1,1,0,1,1,3,1,1,1,1,3,12,21,5,7,10,7,10,10,10,5,10,5,10,7,10,4,1,13,14,15,2,2,1,8,1,5,30,1,1,3,5,4,1
0,2,2,2,2,2,-1,-1,13,1,2,3,10,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,3,2,3,3,2,4,56,3,0,1,4,2,1
1,1,1,1,1,1,5,1,1,0,7,2,24,13,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,13,14,15,2,2,3,8,2,1,30,1,1,3,1,4,1
1,1,0,0,0,0,-1,-1,13,0,7,2,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,14,12,4,2,6,4,2,4,71,4,2,1,1,2,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,8,3,2,3,6,2,6,24,1,0,2,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,11,1,2,2,4,2,2,22,1,0,1,1,1,1
1,1,0,0,1,1,1,1,1,1,4,3,10,21,10,8,8,10,10,8,5,8,8,9,8,4,7,4,1,13,14,12,2,2,6,4,2,4,76,4,1,1,2,2,0
0,2,2,2,2,2,-1,-1,13,1,2,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,10,3,2,3,11,2,2,26,1,0,11,4,1,1
1,0,0,0,1,1,1,4,5,1,4,3,12,21,2,5,10,9,10,10,9,8,9,8,10,9,9,3,4,13,11,10,3,1,3,2,2,1,21,1,1,1,2,1,1
0,2,2,2,2,2,-1,-1,13,1,1,3,12,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,1,15,2,2,2,9,2,1,51,3,0,3,5,4,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,9,3,2,3,4,2,6,34,1,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,3,7,2,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,3,2,8,6,1,6,19,1,0,2,1,2,1
1,1,0,0,1,1,5,1,1,1,3,3,12,21,3,8,10,10,8,10,9,10,10,8,8,10,10,3,1,13,14,13,2,2,6,9,2,3,46,2,1,3,3,3,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,9,3,2,3,10,2,6,29,1,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,2,3,2,3,10,2,2,32,1,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,1,3,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,11,3,2,3,10,2,7,26,1,0,10,3,1,1
0,2,2,2,2,2,-1,-1,13,1,2,3,2,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,13,1,2,1,5,2,2,36,2,0,2,4,3,1
0,2,2,2,2,2,-1,-1,13,0,7,1,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,3,1,4,5,1,2,19,1,0,2,1,2,0
0,2,2,2,2,2,-1,-1,13,1,2,3,2,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9,6,3,1,3,6,2,7,30,1,0,2,4,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,13,3,2,3,6,2,7,36,2,0,2,1,3,1
1,1,0,0,1,0,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,9,3,1,3,6,2,7,23,1,2,2,2,1,1
0,2,2,2,2,2,-1,-1,13,1,1,3,15,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9,10,3,2,2,1,2,7,18,1,0,1,5,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,1,3,2,3,4,2,7,45,2,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,4,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,1,12,3,2,6,1,2,4,71,4,0,1,1,2,0
0,2,2,2,2,2,-1,-1,13,0,7,2,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,1,3,2,3,10,2,7,64,3,0,10,1,1,1
1,1,0,1,1,1,7,1,1,1,2,3,10,21,26,5,10,10,10,8,10,4,10,5,10,5,10,5,1,13,14,13,2,1,4,10,2,5,20,1,1,10,4,3,0
0,2,2,2,2,2,-1,-1,13,1,3,3,4,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,12,13,3,1,4,10,1,7,20,1,0,10,3,3,1
0,2,2,2,2,2,-1,-1,13,1,3,3,20,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,1,2,2,6,2,7,25,1,0,2,3,2,0
1,0,1,0,0,1,4,1,5,0,7,3,24,11,26,9,9,8,8,7,7,9,9,6,9,10,10,5,2,13,11,12,1,2,1,4,1,7,20,1,1,1,1,2,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,1,3,2,3,4,2,7,45,2,0,1,1,1,1
1,1,1,0,1,1,6,1,1,1,2,3,7,21,10,5,8,5,6,10,9,6,8,9,10,8,8,3,1,13,14,14,2,2,1,6,2,4,27,1,1,2,4,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,14,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,11,9,3,2,1,10,2,7,24,1,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,13,3,2,6,2,2,6,74,4,0,1,1,3,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,3,2,3,3,2,7,50,2,0,1,1,1,1
1,0,1,1,0,1,2.5,2,2,0,7,3,21,21,4,99,10,8,10,99,8,8,10,99,10,1,10,5,1,13,11,17,3,2,1,9,1,1,57,3,1,3,1,4,0
0,2,2,2,2,2,-1,-1,13,1,1,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,3,2,3,1,2,1,47,2,0,1,5,2,1
1,1,0,0,0,1,5,1,1,0,7,3,24,18,26,5,10,10,10,10,7,5,10,1,5,1,10,5,1,13,14,14,1,2,1,7,1,1,24,1,1,2,1,3,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,9,3,2,3,10,2,4,72,4,0,10,1,1,1
1,1,0,0,0,0,-1,-1,13,1,4,3,11,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,14,13,3,2,1,10,2,4,54,3,2,10,2,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,5,12,1,2,1,7,1,4,34,1,0,2,1,2,1
0,2,2,2,2,2,-1,-1,13,1,3,3,2,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,2,3,2,3,4,2,2,40,2,0,1,3,1,1
1,1,0,0,0,0,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,14,9,3,1,6,1,1,1,52,3,2,1,1,1,0
0,2,2,2,2,2,-1,-1,13,1,4,3,10,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,6,10,4,2,2,6,2,7,26,1,0,2,2,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,16,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,15,3,2,3,10,2,7,27,1,0,10,1,4,0
0,2,2,2,2,2,-1,-1,13,1,1,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,9,1,1,2,5,2,7,37,2,0,2,5,1,1
0,2,2,2,2,2,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,3,2,1,4,2,2,28,1,0,1,2,1,0
