STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,Year,Month,Day,PRCP,TAVG,TMAX,TMIN
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,1,0,24.7,29,17.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,2,0,25,29,21.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,3,3,22.1,28.6,18.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,4,3,17.4,26.5,16.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,9,0,19.6,26.8,14.6
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,11,0,23.4,28.2,16.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,13,0,21.4,28.3,16.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,16,0,29.3,36.5,26.3
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,17,0,23.5,34,17.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,18,0,20.9,34,17
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,19,0,26,30.4,17.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,21,0.3,18.2,26.3,15.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,24,0,21.6,29.4,17.7
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,27,4.3,18.5,28.2,17.7
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,28,13.2,17.8,19.2,17.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,30,0.5,20.3,24.6,17.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,5,31,0,24.9,29.7,17.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,1,0,26.6,32.5,20.1
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,2,0,21.8,32.5,16
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,3,0,26.6,32.4,16
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,4,0,23.3,32.4,18.7
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,5,0,27.2,31,18.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,8,0,30.4,36.4,22.5
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,9,0.5,28.5,36.4,20.2
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,10,0,28.6,36.4,20.2
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,12,1.5,21.8,34.5,18.3
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,13,0,27.3,31.2,19.4
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,22,0,32.5,40.1,24.3
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,24,0,31.3,39.9,23.8
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,25,0,27.4,38.7,23.3
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,26,0,29.2,33.8,23.3
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,6,27,0.5,31.3,36.2,20
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,2,0,31.3,36.9,27.3
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,4,11.2,24.2,31.1,21
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,5,0,33.4,38.1,21
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,6,0,32.9,38.1,28.6
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,8,13.7,30.8,39.7,22.2
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,9,0.3,33.1,38.6,22.2
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,11,0,31.9,36.9,24.6
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,13,0.8,27.2,29.6,24.6
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,15,0,27.4,35.9,21.9
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,16,0,29.1,33.9,21.9
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,18,0,29.3,34.8,23.4
CHM00054823,"JINAN, CH",36.6,117.05,169,2023,7,19,0,31.2,34.7,25.8
